Agent Name,Model Brier Score,Aggregate Brier Scores,Model Calibration,Aggregate Calibration,Model Refinement,Aggregate Refinement,Model Better? (Based on Brier Score),Success Score,Object Permanence Ability Mean (All),Visual Acuity Ability Mean (All),Flat Navigation Ability Mean (All),Lava Ability Mean (All),Right Ability Mean (All),Left Ability Mean (All),Ahead Ability Mean (All),CVChick Ability Mean (All),PCTB Ability Mean (All),Lights Out Ability Mean (All),Noise Parameter Mean (All),Object Permanence Ability SD (All),Visual Acuity Ability SD (All),Flat Navigation Ability SD (All),Lava Ability SD (All),Right Ability SD (All),Left Ability SD (All),Ahead Ability SD (All),CVChick Ability SD (All),PCTB Ability SD (All),Lights Out Ability SD (All),Noise Parameter SD (All),Object Permanence Ability Min (All),Visual Acuity Ability Min (All),Flat Navigation Ability Min (All),Lava Ability Min (All),Right Ability Min (All),Left Ability Min (All),Ahead Ability Min (All),CVChick Ability Min (All),PCTB Ability Min (All),Lights Out Ability Min (All),Noise Parameter Min (All),Object Permanence Ability Max (All),Visual Acuity Ability Max (All),Flat Navigation Ability Max (All),Lava Ability Max (All),Right Ability Max (All),Left Ability Max (All),Ahead Ability Max (All),CVChick Ability Max (All),PCTB Ability Max (All),Lights Out Ability Max (All),Noise Parameter Max (All)
Random_Walker_Fixed_Forwards_Saccade_15_Angle_10_1815,0.08039506659296485,0.09038048822571051,0.001982540497719773,0.00047562721573158066,0.07954771912046157,0.08990486100998048,True,0.11732508329366968,157.16869325655355,4.9577809410883935,276.99256292869114,0.059244406490955276,1.034860924507395,0.7722086233899761,1.4707315758967523,0.07409491625512826,0.022243175725925216,1.4722988675716155,0.004455898452051825,38.67796520304454,0.03877334604831213,108.48480064531364,0.04819352759585186,0.49300907291570806,0.46301500394730893,0.3415218021503831,0.05902315460848333,0.02110714643612768,0.33693055965376945,0.0031482802931530962,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Fixed_Forwards_Saccade_15_Angle_10_3761,0.08059911735074941,0.08630894997077547,0.0022682440701687063,0.0002328359510281751,0.07911388902665059,0.08607611401974605,True,0.10732984293193717,202.9975220028115,4.936155098438016,186.16943548005258,0.05129042375725022,0.3852366396338807,0.675113071842698,1.3317957206257178,0.3827717511487128,0.038884905554434995,1.078783361926648,0.005469217518751337,56.82906660872851,0.05832654931252919,124.43786304214716,0.049125252417884235,0.31731909795779767,0.48869482638378237,0.42600487696378997,0.3423824679248459,0.03756371497796723,0.4662432120723209,0.0037573747819352778,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Rayleigh_Flight_Norm_Saccade_mu_15_sig_5_Uniform_Angles_1_to_60_356,0.04751596621677289,0.05171095111166317,0.000212504817791039,5.9003609712234205e-06,0.04797474375014808,0.05170505075069173,True,0.05663969538315088,223.07017005281986,4.870543685390374,38.596500508244866,0.07237793666835572,0.027405460911861548,0.04184905949697642,1.5225894527423451,0.05072169505651615,0.06545909154616032,1.3191344372825025,0.0009062449225175832,54.23940989699401,0.1046637785425086,32.04749515982852,0.058021698350729935,0.025961324549773807,0.038888818445419,0.31914747714309555,0.046632471364595834,0.058540407854939545,0.42439428269974755,0.000888885823774233,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Rayleigh_Flight_Norm_Saccade_mu_15_sig_5_Uniform_Angles_1_to_60_1997,0.04626649650827486,0.05066240279167032,0.0012995952019003631,1.7750948908106887e-05,0.045606430088181035,0.050644651842761214,True,0.056877677296525465,191.1142585328303,4.889378966603233,56.623743136369534,0.025126772355260733,0.0302507077155597,0.02118098996002532,1.5555948011232104,0.043101775351250565,0.1682230369111478,1.2649774159088998,0.0009164747335662557,55.27631816089132,0.09269389575654169,44.06605162812693,0.024359814509639914,0.029902486279570494,0.020454585048813163,0.2948310317079653,0.04290383984410685,0.13949561521422085,0.44631919105976997,0.0009040219946482146,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Rayleigh_Flight_Norm_Saccade_mu_15_sig_5_Uniform_Angles_1_to_60_2023,0.03818458676173923,0.03991109830213572,0.0013387802058586603,2.5960711842042975e-05,0.037461152008521036,0.03988513759029297,True,0.04569252736792004,174.6582076257228,4.739597131999362,26.016660019034155,0.023580921375133016,0.05512405007783401,0.027399702809002967,1.4560417721994263,0.052331908846699436,0.08222393723132501,1.1597913033855034,0.0009164992762832931,49.18609592454696,0.16928507677944243,25.283884119855028,0.02291143014142471,0.048039175173061145,0.026224255236483234,0.3422269077160201,0.049891386115142794,0.07946540524835709,0.4742898341999658,0.0008661005530829792,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Rayleigh_Flight_Norm_Saccade_mu_15_sig_5_Uniform_Angles_1_to_60_1815,0.0460732820328608,0.04958154369849233,0.00041554447158337083,1.1849408289138093e-07,0.046216137294466664,0.049581425204409564,True,0.05259400285578296,145.5088639807919,4.845202103056497,41.46022512294168,0.06333763633516515,0.04985333954029761,0.026978139575607494,1.4969322191052792,0.062163978730525545,0.268719273145627,1.2424067427462948,0.0008911274690885929,49.505512234549606,0.12179618476092242,37.720282234985596,0.05730657913321144,0.04602985985983646,0.026313887928025102,0.3257597233230493,0.07746965938536748,0.26220702455530936,0.46054160494854957,0.0008450264924952651,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Rayleigh_Flight_Norm_Saccade_mu_15_sig_5_Uniform_Angles_1_to_60_3761,0.04485113401588396,0.048515672701424394,0.0005827671288644703,3.0186578795426166e-07,0.046021530998238504,0.048515370835636756,True,0.05069014754878629,186.38186693439036,4.832690933077263,41.56905698562714,0.022758150711000562,0.054835361684451044,0.03826112121571377,1.4781110147555776,0.05316242116504755,0.0554461208658606,1.1930631837033772,0.0008346437304788855,51.92710575466253,0.1291951768714594,37.36325972696939,0.022615173641862295,0.04802493758622928,0.034464017102238884,0.3375393075858818,0.04916266843602901,0.05370314943402822,0.4672042539338507,0.0008358582826917218,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Levy_Flight_Cauchy_Saccade_mode_15_Uniform_Angles_1_to_60_356,0.04502495826036212,0.050657060591699964,0.0009824632377086278,1.2408748938090768e-05,0.04502941621034117,0.050644651842761214,True,0.05069014754878629,178.28265208728408,4.7856117907192885,42.96821343111744,0.025042037904057138,0.027936939337189826,0.06411024503694705,1.4841117692327546,0.038535466720440656,0.10620227259883289,1.349414271086755,0.0010173341254369954,53.897973543900214,0.15417841875449956,37.912429165052366,0.02474738879875808,0.026719227067721604,0.05467398527434248,0.32727895798424195,0.0370491012813567,0.08747931173281064,0.4172560993815027,0.0009772310149614584,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Levy_Flight_Cauchy_Saccade_mode_15_Uniform_Angles_1_to_60_1997,0.0432163246806354,0.04745749395864117,0.0013924855438735525,1.1005222197914186e-05,0.04219848990898805,0.047446488736442805,True,0.05259400285578296,213.6527365488435,4.8063532138709855,42.06657736403903,0.024611018956225608,0.023961951029364662,0.060084525832488835,1.5145391095150493,0.07928013337556196,0.03664215755660822,1.3560813009181993,0.0009375343282054665,56.074047405555405,0.14196709567112384,36.18513976563269,0.023443428459657918,0.022989000030379205,0.050071072404591625,0.3197865606069372,0.06808844078849019,0.03544964111101659,0.39804033281661355,0.0009122674391138321,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Levy_Flight_Cauchy_Saccade_mode_15_Uniform_Angles_1_to_60_2023,0.046085658030345214,0.04958295493105433,0.00013931473252194512,1.529726645115587e-06,0.04719390183848871,0.049581425204409564,True,0.053307948595906714,165.82643181175587,4.90559832733692,60.69365751127733,0.06334020499288509,0.03767058934651613,0.03314734429429248,1.5204355658786817,0.05506928474509854,0.051135609143884875,1.3886729310219998,0.001141676879120877,47.366259243621215,0.08444074850321891,53.03746304721332,0.05608795021108364,0.03500424271300468,0.030887754102177246,0.3132944919104523,0.051830792411301944,0.051398013354348404,0.3857386540248025,0.0010737012200001447,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
